NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;--;;;0.0000;0.0000;307;0.0000;9544;40;1.7125;57;12;1;178;129;155;7;9423;37;1175;955
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;Si;;;433.0417;190.2544;134;16811.9604;10142;1699;1.9247;39;1;19;99;35;106;35;6269;1057;83;171
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;--;;;0.0000;0.0000;328;0.0000;9860;40;1.6663;68;16;1;187;141;155;8;9747;35;1230;888
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;Si;;;462.8577;214.3911;151;17432.4170;10476;1802;2.0469;39;1;22;111;40;117;40;6513;1157;90;173
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;No;177.898;0.840743;211.5963;90.9055;7038;1866.5997;87962;56552;6.2021;618;149;96;2733;4305;3035;4328;69339;49378;74663;192057
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;No;188.595;0.855424;220.4699;96.1754;7446;1892.8071;89465;57078;6.4796;631;133;100;2887;4559;3214;4585;70415;49948;80168;180059
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;--;;;0.0000;0.0000;376;0.0000;9913;40;1.8926;66;16;2;211;165;178;8;9793;35;1234;798
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;Si;;;469.9568;222.9100;157;18643.5143;11286;1845;2.0755;42;1;24;108;49;121;50;7036;1203;97;173
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;No;200.066;0.864069;231.5392;101.0320;7822;1884.6956;88174;57741;6.8143;663;138;91;3011;4811;3330;4840;69335;50560;82545;166857
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;--;;;0.0000;0.0000;413;0.0000;9803;45;2.0985;73;19;4;228;185;195;9;9681;40;1329;944
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;Si;;;469.9568;230.0090;162;18740.0613;11362;1837;2.1422;45;0;30;110;52;121;54;6958;1211;91;158
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;--;;;0.0000;0.0000;462;0.0000;9681;43;2.2997;72;18;5;245;217;212;9;9571;39;1384;914
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;Si;;;496.9332;224.3298;158;19616.0835;11889;1927;1.9333;48;0;35;102;56;110;57;7387;1251;95;143
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;No;210.287;0.866221;242.7636;105.1265;8139;1895.8166;88265;58511;7.0776;676;139;110;3084;5055;3441;5101;69359;51332;89504;154036
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;No;222.917;0.867127;257.0749;111.5976;8640;1910.5413;88467;59449;7.4211;706;138;114;3247;5393;3573;5447;69392;52153;107832;145622
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;--;;;0.0000;0.0000;475;0.0000;9605;50;2.3270;70;16;5;248;227;213;9;9496;44;1446;880
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;Si;;;556.5651;262.6646;185;20507.7237;12446;1998;2.1983;50;0;37;128;57;142;58;7782;1316;105;146
CATALUNYA;GLOBAL;2021-08-15;2021-08-21;--;;;0.0000;0.0000;488;0.0000;9661;51;2.3447;69;17;4;253;235;217;8;9551;45;1461;878
CATALUNYA;GLOBAL;2021-08-15;2021-08-21;Si;;;569.3434;271.1835;191;20527.6010;12533;1925;2.2610;57;0;38;129;62;143;63;7839;1272;104;146
CATALUNYA;GLOBAL;2021-08-15;2021-08-21;No;227.022;0.863955;262.7711;114.6975;8880;1918.4848;88841;59690;7.5771;746;148;119;3288;5592;3626;5625;69690;52402;108888;143730
CATALUNYA;GLOBAL;2021-08-14;2021-08-20;No;230.305;0.855628;269.1647;117.4616;9094;1929.3863;89280;60095;7.6515;789;161;125;3329;5765;3613;5783;69977;52823;121995;138389
CATALUNYA;GLOBAL;2021-08-14;2021-08-20;--;;;0.0000;0.0000;501;0.0000;9770;51;2.4317;67;14;5;264;237;226;10;9660;45;1491;872
CATALUNYA;GLOBAL;2021-08-14;2021-08-20;Si;;;553.7255;242.7873;171;20766.1290;12681;1945;2.0026;60;0;44;108;63;121;64;7906;1332;105;147
CATALUNYA;GLOBAL;2021-08-13;2021-08-19;No;236.553;0.840602;281.4094;120.6907;9344;1951.6412;90684;60414;7.8364;832;145;126;3432;5912;3807;5915;70945;53117;132888;139704
CATALUNYA;GLOBAL;2021-08-13;2021-08-19;--;;;0.0000;0.0000;515;0.0000;9824;52;2.5239;64;11;5;266;249;235;11;9699;48;1750;871
CATALUNYA;GLOBAL;2021-08-13;2021-08-19;Si;;;641.7537;248.4666;175;21308.4961;13075;1933;2.0376;66;0;53;111;64;127;65;8108;1315;127;164
CATALUNYA;GLOBAL;2021-08-12;2021-08-18;--;;;0.0000;0.0000;507;0.0000;9808;57;2.5010;67;16;4;262;245;230;14;9704;52;2087;970
